graph_0,graph_1,graph_2,graph_3,graph_4,graph_5,graph_6,graph_7,graph_8,graph_9,graph_10,graph_11,graph_12,graph_13,graph_14,graph_15,graph_16,graph_17,graph_18,graph_19,graph_20,graph_21,graph_22,graph_23,graph_24,graph_25,graph_26,graph_27,graph_28,graph_29,graph_30,graph_31,graph_32,graph_33,graph_34,graph_35,graph_36,graph_37,graph_38,graph_39,graph_40,graph_41,graph_42,graph_43,graph_44,graph_45,graph_46,graph_47,graph_48,graph_49,graph_50,graph_51,graph_52,graph_53,graph_54,graph_55,graph_56,graph_57,graph_58,graph_59,graph_60,graph_61,graph_62,graph_63
-0.32482845,-0.3866588,-0.90763056,0.22660819,0.7142593,-0.028631594,-0.4617831,-0.11783546,-0.7499222,-0.2683542,0.41167444,-0.44051677,0.22605586,-0.23262526,0.83972216,-0.757581,0.044018213,-0.3766318,-0.18405436,-1.0229288,0.0748974,0.59752685,-0.28831,1.1708376,0.36679015,0.54584724,-0.2266813,-0.80836403,0.26828235,0.99453354,0.67978436,0.17360546,-0.08138001,0.47658744,0.87437224,-1.8342324,-0.38451836,0.00030170672,0.55123,-0.3116756,0.045038547,0.33627445,0.17210026,-1.4495112,0.051811703,-0.5705449,0.3567077,-0.26533395,-0.41944978,0.10043065,-0.09009033,-1.2905165,-1.0749072,-0.108526215,0.63367534,-0.6585135,-0.14893931,-1.0211349,0.16365989,0.076414526,-0.012483475,0.25211805,-0.54994583,0.3016348
-0.32482845,-0.3866588,-0.90763056,0.22660819,0.7142593,-0.028631594,-0.4617831,-0.11783546,-0.7499222,-0.2683542,0.41167444,-0.44051677,0.22605586,-0.23262526,0.83972216,-0.757581,0.044018213,-0.3766318,-0.18405436,-1.0229288,0.0748974,0.59752685,-0.28831,1.1708376,0.36679015,0.54584724,-0.2266813,-0.80836403,0.26828235,0.99453354,0.67978436,0.17360546,-0.08138001,0.47658744,0.87437224,-1.8342324,-0.38451836,0.00030170672,0.55123,-0.3116756,0.045038547,0.33627445,0.17210026,-1.4495112,0.051811703,-0.5705449,0.3567077,-0.26533395,-0.41944978,0.10043065,-0.09009033,-1.2905165,-1.0749072,-0.108526215,0.63367534,-0.6585135,-0.14893931,-1.0211349,0.16365989,0.076414526,-0.012483475,0.25211805,-0.54994583,0.3016348
-0.32482845,-0.3866588,-0.90763056,0.22660819,0.7142593,-0.028631594,-0.4617831,-0.11783546,-0.7499222,-0.2683542,0.41167444,-0.44051677,0.22605586,-0.23262526,0.83972216,-0.757581,0.044018213,-0.3766318,-0.18405436,-1.0229288,0.0748974,0.59752685,-0.28831,1.1708376,0.36679015,0.54584724,-0.2266813,-0.80836403,0.26828235,0.99453354,0.67978436,0.17360546,-0.08138001,0.47658744,0.87437224,-1.8342324,-0.38451836,0.00030170672,0.55123,-0.3116756,0.045038547,0.33627445,0.17210026,-1.4495112,0.051811703,-0.5705449,0.3567077,-0.26533395,-0.41944978,0.10043065,-0.09009033,-1.2905165,-1.0749072,-0.108526215,0.63367534,-0.6585135,-0.14893931,-1.0211349,0.16365989,0.076414526,-0.012483475,0.25211805,-0.54994583,0.3016348
-0.32482845,-0.3866588,-0.90763056,0.22660819,0.7142593,-0.028631594,-0.4617831,-0.11783546,-0.7499222,-0.2683542,0.41167444,-0.44051677,0.22605586,-0.23262526,0.83972216,-0.757581,0.044018213,-0.3766318,-0.18405436,-1.0229288,0.0748974,0.59752685,-0.28831,1.1708376,0.36679015,0.54584724,-0.2266813,-0.80836403,0.26828235,0.99453354,0.67978436,0.17360546,-0.08138001,0.47658744,0.87437224,-1.8342324,-0.38451836,0.00030170672,0.55123,-0.3116756,0.045038547,0.33627445,0.17210026,-1.4495112,0.051811703,-0.5705449,0.3567077,-0.26533395,-0.41944978,0.10043065,-0.09009033,-1.2905165,-1.0749072,-0.108526215,0.63367534,-0.6585135,-0.14893931,-1.0211349,0.16365989,0.076414526,-0.012483475,0.25211805,-0.54994583,0.3016348
-0.41782862,-0.49550486,-0.8792038,0.3259779,0.749364,-0.09007046,-0.5352041,-0.18696259,-0.8266447,-0.249513,0.3596391,-0.41229966,0.26250076,-0.22693776,0.7917119,-0.70725465,0.059101034,-0.4324805,-0.14425567,-0.99689656,0.097617224,0.6516609,-0.265262,1.1680136,0.48556215,0.60114545,-0.15824145,-0.77294683,0.26423138,0.9250662,0.71364886,0.23730953,-0.05553323,0.3928129,0.7954607,-1.7519401,-0.41677064,-0.0049244855,0.48246107,-0.3612401,-0.0022713735,0.32907325,0.058659747,-1.4120322,0.005308522,-0.5815209,0.3855339,-0.31832525,-0.3610551,0.15795875,0.020186117,-1.2826738,-1.057808,-0.18437593,0.65240866,-0.7143206,-0.0720498,-1.123828,0.24145345,0.15593271,-0.036134303,0.23566787,-0.43681118,0.25454515
-0.41782862,-0.49550486,-0.8792038,0.3259779,0.749364,-0.09007046,-0.5352041,-0.18696259,-0.8266447,-0.249513,0.3596391,-0.41229966,0.26250076,-0.22693776,0.7917119,-0.70725465,0.059101034,-0.4324805,-0.14425567,-0.99689656,0.097617224,0.6516609,-0.265262,1.1680136,0.48556215,0.60114545,-0.15824145,-0.77294683,0.26423138,0.9250662,0.71364886,0.23730953,-0.05553323,0.3928129,0.7954607,-1.7519401,-0.41677064,-0.0049244855,0.48246107,-0.3612401,-0.0022713735,0.32907325,0.058659747,-1.4120322,0.005308522,-0.5815209,0.3855339,-0.31832525,-0.3610551,0.15795875,0.020186117,-1.2826738,-1.057808,-0.18437593,0.65240866,-0.7143206,-0.0720498,-1.123828,0.24145345,0.15593271,-0.036134303,0.23566787,-0.43681118,0.25454515
-0.41782862,-0.49550486,-0.8792038,0.3259779,0.749364,-0.09007046,-0.5352041,-0.18696259,-0.8266447,-0.249513,0.3596391,-0.41229966,0.26250076,-0.22693776,0.7917119,-0.70725465,0.059101034,-0.4324805,-0.14425567,-0.99689656,0.097617224,0.6516609,-0.265262,1.1680136,0.48556215,0.60114545,-0.15824145,-0.77294683,0.26423138,0.9250662,0.71364886,0.23730953,-0.05553323,0.3928129,0.7954607,-1.7519401,-0.41677064,-0.0049244855,0.48246107,-0.3612401,-0.0022713735,0.32907325,0.058659747,-1.4120322,0.005308522,-0.5815209,0.3855339,-0.31832525,-0.3610551,0.15795875,0.020186117,-1.2826738,-1.057808,-0.18437593,0.65240866,-0.7143206,-0.0720498,-1.123828,0.24145345,0.15593271,-0.036134303,0.23566787,-0.43681118,0.25454515
-0.41782862,-0.49550486,-0.8792038,0.3259779,0.749364,-0.09007046,-0.5352041,-0.18696259,-0.8266447,-0.249513,0.3596391,-0.41229966,0.26250076,-0.22693776,0.7917119,-0.70725465,0.059101034,-0.4324805,-0.14425567,-0.99689656,0.097617224,0.6516609,-0.265262,1.1680136,0.48556215,0.60114545,-0.15824145,-0.77294683,0.26423138,0.9250662,0.71364886,0.23730953,-0.05553323,0.3928129,0.7954607,-1.7519401,-0.41677064,-0.0049244855,0.48246107,-0.3612401,-0.0022713735,0.32907325,0.058659747,-1.4120322,0.005308522,-0.5815209,0.3855339,-0.31832525,-0.3610551,0.15795875,0.020186117,-1.2826738,-1.057808,-0.18437593,0.65240866,-0.7143206,-0.0720498,-1.123828,0.24145345,0.15593271,-0.036134303,0.23566787,-0.43681118,0.25454515
-0.4256887,-0.506896,-0.8726306,0.33245105,0.7523456,-0.09527303,-0.5424604,-0.19453438,-0.8334171,-0.2463104,0.35663846,-0.41136235,0.26227325,-0.22901063,0.78394663,-0.700682,0.06177985,-0.4395,-0.13856201,-0.9985511,0.09767248,0.65457404,-0.26357067,1.1645099,0.49384898,0.6053592,-0.15385117,-0.7698703,0.26582626,0.9174911,0.7172588,0.2420345,-0.05228477,0.38878125,0.7873653,-1.7438023,-0.42046797,-0.010184153,0.47759968,-0.36783993,-0.005995115,0.32882684,0.05009767,-1.4106789,0.00073700637,-0.5818031,0.38939595,-0.32347322,-0.3600523,0.15890233,0.027756257,-1.278702,-1.0544853,-0.19232816,0.6539151,-0.71909463,-0.06651633,-1.1319169,0.25130287,0.16688941,-0.037461355,0.23386423,-0.42653936,0.2486027
-0.4256887,-0.506896,-0.8726306,0.33245105,0.7523456,-0.09527303,-0.5424604,-0.19453438,-0.8334171,-0.2463104,0.35663846,-0.41136235,0.26227325,-0.22901063,0.78394663,-0.700682,0.06177985,-0.4395,-0.13856201,-0.9985511,0.09767248,0.65457404,-0.26357067,1.1645099,0.49384898,0.6053592,-0.15385117,-0.7698703,0.26582626,0.9174911,0.7172588,0.2420345,-0.05228477,0.38878125,0.7873653,-1.7438023,-0.42046797,-0.010184153,0.47759968,-0.36783993,-0.005995115,0.32882684,0.05009767,-1.4106789,0.00073700637,-0.5818031,0.38939595,-0.32347322,-0.3600523,0.15890233,0.027756257,-1.278702,-1.0544853,-0.19232816,0.6539151,-0.71909463,-0.06651633,-1.1319169,0.25130287,0.16688941,-0.037461355,0.23386423,-0.42653936,0.2486027
-0.4256887,-0.506896,-0.8726306,0.33245105,0.7523456,-0.09527303,-0.5424604,-0.19453438,-0.8334171,-0.2463104,0.35663846,-0.41136235,0.26227325,-0.22901063,0.78394663,-0.700682,0.06177985,-0.4395,-0.13856201,-0.9985511,0.09767248,0.65457404,-0.26357067,1.1645099,0.49384898,0.6053592,-0.15385117,-0.7698703,0.26582626,0.9174911,0.7172588,0.2420345,-0.05228477,0.38878125,0.7873653,-1.7438023,-0.42046797,-0.010184153,0.47759968,-0.36783993,-0.005995115,0.32882684,0.05009767,-1.4106789,0.00073700637,-0.5818031,0.38939595,-0.32347322,-0.3600523,0.15890233,0.027756257,-1.278702,-1.0544853,-0.19232816,0.6539151,-0.71909463,-0.06651633,-1.1319169,0.25130287,0.16688941,-0.037461355,0.23386423,-0.42653936,0.2486027
