Cation,Anion,target
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,[Br-],>0.3
O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,[Br-],>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[P-](F)(F)(F)(F)F,F[P-](F)(F)(F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
F[B-](F)(F)F,F[B-](F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,O=C([O-])C(F)(F)F,0.161
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,O=C([O-])C(F)(F)F,0.173
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,O=C([O-])C(F)(F)F,0.169
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,O=C([O-])C(F)(F)F,0.165
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,[Br-],0.156
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,[Br-],0.154
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,[Br-],0.149
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,[Br-],0.161
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[P-](F)(F)(F)(F)F,0.163
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[P-](F)(F)(F)(F)F,0.169
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[P-](F)(F)(F)(F)F,0.158
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[P-](F)(F)(F)(F)F,0.156
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[B-](F)(F)F,0.112
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[B-](F)(F)F,0.109
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[B-](F)(F)F,0.113
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1,F[B-](F)(F)F,0.11
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,O=C([O-])C(F)(F)F,>0.3
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1,[Br-],>0.3
