Cation,Anion,target,Cation_Organic,Anion_Organic,both_Organic,only_one_Organic
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.1001,True,True,True,False
CCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.03348,True,True,True,False
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.02803,True,True,True,False
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.01941,True,True,True,False
CCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
CCCCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.92,True,True,True,False
CCCCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.947,True,True,True,False
CCCCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.904,True,True,True,False
CCCCCCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,1.0,True,True,True,False
CCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.07854,True,True,True,False
CCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.07104,True,True,True,False
CCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.0745,True,True,True,False
CCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
CCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.03864,True,True,True,False
CCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.03852,True,True,True,False
CCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.0419,True,True,True,False
CCCCCCCCCCCCCC[n+]1ccc(C(=O)N/N=C/c2ccc[n+](CCCCCCCCCCCCCC)c2)cc1,O=C([O-])C(F)(F)F,0.3,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C1OC(C(O)CO)C([O-])=C1O,1.916611392,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C1OC(C(O)CO)C([O-])=C1O,1.036,True,True,True,False
CC(C)Cc1ccc(CC(=O)[O-])cc1,CC(C)Cc1ccc(CC(=O)[O-])cc1,1.649737711,True,True,True,False
CC(C)Cc1ccc(CC(=O)[O-])cc1,CC(C)Cc1ccc(CC(=O)[O-])cc1,2.206566932,True,True,True,False
N=C([NH3+])NCCCC[NH3+],NC(CCC(=O)O)C(=O)[O-],7.197879609,True,True,True,False
N=C([NH3+])NCCCC[NH3+],NC(CCC(=O)O)C(=O)[O-],4.011544352,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C([O-])c1ccccc1O,2.762,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C([O-])c1ccccc1O,2.039,True,True,True,False
N=C([NH3+])NCCCC[NH3+],O=C([O-])CC(O)(CC(=O)O)C(=O)O,2.194522199,True,True,True,False
