Canonical SMILES,"CC50/IC50/EC50, mM",filename
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
F[B-](F)(F)F.F[B-](F)(F)F.O=C(C[n+]1ccc(/C=N/NC(=O)c2cc[n+](CC(=O)c3ccc(Cl)cc3)cc2)cc1)c1ccc(Cl)cc1,0.3,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.161,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.173,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.169,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.165,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.[Br-].[Br-],0.156,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.[Br-].[Br-],0.154,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.[Br-].[Br-],0.149,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.[Br-].[Br-],0.161,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.163,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.169,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.158,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,0.156,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.112,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.109,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.113,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(C(=O)N/N=C/c3ccc[n+](CC(=O)c4ccc(OC)cc4)c3)cc2)cc1.F[B-](F)(F)F.F[B-](F)(F)F,0.11,polycharged.csv
COc1ccc(C(=O)C[n+]2ccc(/C=N/NC(=O)c3cc[n+](CC(=O)c4ccc(OC)cc4)cc3)cc2)cc1.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F,0.3,polycharged.csv
